# sweep: 320 configs x 25 stocks, 15m/60d yfinance, train/test split
 atr  mult  ema         exit    train     test  trades   win%
   7   1.0   20   be1.0+noTr   -18242   -11657     564   30.0
   7   1.0   20  be1.0+tr2.0   -18242   -11657     564   30.0
   7   2.0    0   be1.0+noTr    -8931   -11904     482   36.1
  21   1.0   20          tp3   -21466   -12044     591   29.4
  21   1.5    0  be1.0+tr2.0   -18338   -12217     762   38.2
   7   1.0   20          tp3   -17526   -12276     564   30.0
  21   1.0   20   be1.0+noTr   -22555   -12310     591   29.3
  21   1.0   20  be1.0+tr2.0   -22555   -12310     591   29.3
  21   1.5    0   be1.0+noTr   -18216   -12332     762   38.2
   7   2.0    0  be0.5+tr1.5    -8967   -12340     482   30.9
  14   1.5    0  be1.0+tr2.0   -18737   -12491     750   38.1
  21   1.0   20  be0.5+tr1.5   -22655   -12626     591   26.4
  14   1.5    0   be1.0+noTr   -18732   -12677     750   38.1
  14   1.0   20          tp3   -20407   -12766     588   29.4
  10   1.0   20   be1.0+noTr   -19343   -12794     570   29.1
  10   1.0   20  be1.0+tr2.0   -19343   -12794     570   29.1
  14   1.0   20   be1.0+noTr   -21087   -12858     588   29.3
  14   1.0   20  be1.0+tr2.0   -21087   -12858     588   29.3
  21   1.5    0          tp3   -16008   -12885     762   38.3
  10   1.0   20          tp3   -18888   -12920     570   29.3
  14   1.0   20  be0.5+tr1.5   -21571   -13141     588   26.2
  10   1.0   20  be0.5+tr1.5   -19960   -13204     570   26.0
  14   1.5    0          tp3   -17570   -13280     750   38.3
  21   1.0   50          tp3   -21848   -13794     537   28.1
  21   1.0   50   be1.0+noTr   -22853   -13918     537   27.9
  21   1.0   50  be1.0+tr2.0   -22853   -13918     537   27.9
  10   1.5    0  be1.0+tr2.0   -19192   -13921     737   38.0
   7   1.0   50  be0.5+tr1.5   -19268   -13980     513   25.3
   7   1.0   50   be1.0+noTr   -19360   -13991     513   27.5
   7   1.0   50  be1.0+tr2.0   -19360   -13991     513   27.5
  10   1.5    0   be1.0+noTr   -19167   -14020     737   37.9
   7   1.5    0  be1.0+tr2.0   -15919   -14074     714   37.5
  21   1.5    0  be0.5+tr1.5   -19226   -14075     762   32.3
   7   1.5    0   be1.0+noTr   -16003   -14146     714   37.4
   7   1.5    0          tp3   -14611   -14169     714   37.5
  14   1.0   50   be1.0+noTr   -20971   -14215     532   28.4
  14   1.0   50  be1.0+tr2.0   -20971   -14215     532   28.4
  14   1.0   50          tp3   -20334   -14260     532   28.6
  21   1.0   50  be0.5+tr1.5   -22452   -14325     537   25.1
  21   1.0  100          tp3   -25492   -14449     547   28.2
   7   1.0  100  be0.5+tr1.5   -21693   -14454     524   25.6
  10   1.5    0          tp3   -17617   -14469     737   38.0
   7   1.0  100   be1.0+noTr   -21589   -14474     524   27.7
   7   1.0  100  be1.0+tr2.0   -21589   -14474     524   27.7
  21   1.0  100   be1.0+noTr   -26493   -14531     547   28.0
  21   1.0  100  be1.0+tr2.0   -26493   -14531     547   28.0
  14   1.0   50  be0.5+tr1.5   -20199   -14550     532   25.8
  10   1.0   50   be1.0+noTr   -20141   -14588     520   27.7
  10   1.0   50  be1.0+tr2.0   -20141   -14588     520   27.7
   7   1.0   50          tp3   -18801   -14815     513   27.5
  14   1.5    0  be0.5+tr1.5   -19579   -14878     750   31.6
  10   1.0   50          tp3   -19571   -14891     520   27.9
  14   1.0  100   be1.0+noTr   -24318   -14910     547   28.5
  14   1.0  100  be1.0+tr2.0   -24318   -14910     547   28.5
  14   1.0  100          tp3   -23685   -14997     547   28.7
  21   1.0  100  be0.5+tr1.5   -26354   -15014     547   25.0
   7   1.5    0  be0.5+tr1.5   -17104   -15023     714   31.9
  10   1.0   50  be0.5+tr1.5   -19193   -15058     520   25.0
  10   1.5    0  be0.5+tr1.5   -20381   -15211     737   31.5
  14   1.0  100  be0.5+tr1.5   -24039   -15297     547   25.8
   7   1.0  100          tp3   -21156   -15340     524   27.7
  10   1.0  100   be1.0+noTr   -23736   -15433     533   27.4
  10   1.0  100  be1.0+tr2.0   -23736   -15433     533   27.4
  10   1.0  100          tp3   -23141   -15779     533   27.6
  10   1.0  100  be0.5+tr1.5   -22913   -15808     533   24.8
   7   1.0    0  be0.5+tr1.5   -33017   -28977    1162   29.1
   7   1.0    0   be1.0+noTr   -30596   -29402    1162   31.3
   7   1.0    0  be1.0+tr2.0   -30596   -29402    1162   31.3
   7   1.0    0          tp3   -29932   -29755    1162   31.3
  10   1.0    0          tp3   -32059   -30087    1172   31.3
  10   1.0    0   be1.0+noTr   -33111   -30166    1172   31.2
  10   1.0    0  be1.0+tr2.0   -33094   -30321    1172   31.2
  21   1.0    0          tp3   -35578   -30723    1200   30.8
  14   1.0    0          tp3   -33342   -30846    1194   31.3
  14   1.0    0   be1.0+noTr   -34227   -31214    1194   31.2
  14   1.0    0  be1.0+tr2.0   -34227   -31369    1194   31.2
  21   1.0    0   be1.0+noTr   -37026   -31457    1200   30.7
  10   1.0    0  be0.5+tr1.5   -34684   -31544    1172   28.1
  21   1.0    0  be1.0+tr2.0   -37026   -31612    1200   30.7
  21   1.0    0  be0.5+tr1.5   -38098   -32113    1200   27.9
  14   1.0    0  be0.5+tr1.5   -35508   -32174    1194   28.2
